meta_model,base_combo,include_meta,accuracy,f1,precision,recall,leave_out,sampling
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9866178639695009,0.9818383992954115,0.9718336299206929,0.9920513042633675,02-14-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.987891851742664,0.983637262028876,0.969575805485076,0.9981125785222461,02-14-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.635369576099951,0.0,0.0,0.0,02-14-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.984066059759694,0.9785451644458306,0.9611738731941484,0.9965559151894116,02-14-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9850174826346182,0.9797582577592483,0.9655036191252931,0.9944401130877848,02-14-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9828992745639871,0.9769847526885045,0.9592133055081262,0.9954271373932583,02-14-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.635369576099951,0.0,0.0,0.0,02-14-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9853764198359226,0.9801331048167923,0.9711267151968047,0.9893081117122509,02-14-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9854060919778971,0.9799656524007185,0.9810523546435148,0.9788813549533657,02-14-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9857439715300583,0.9801802329295037,0.9939545892494245,0.9667824320173884,02-14-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.635369576099951,0.0,0.0,0.0,02-14-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9883311908770607,0.98384696820936,0.9932793972860751,0.9745919993279835,02-14-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998731437665538,0.9987412267317669,1.0,0.9974856184997524,02-15-2018.csv,none
