meta_model,base_combo,include_meta,accuracy,f1,precision,recall,file,sampling
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9900646404573966,0.986364233480755,0.9872115140200023,0.985518406062144,02-14-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9960118177815497,0.9945160526107977,0.9972636487616031,0.9917835548594279,02-14-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.49570871593294746,0.0013521027092600081,0.0024324262883902792,0.000936272236465616,02-14-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9964106360033947,0.9950689686912385,0.9968998103000071,0.9932448395649397,02-14-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9890979050876443,0.9849449479439742,0.9919331937098435,0.9780544787938713,02-14-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9750914091364469,0.9669716930444678,0.9360553689900892,1.0,02-14-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.49570871593294746,0.0013521027092600081,0.0024324262883902792,0.000936272236465616,02-14-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9750914091364469,0.9669716930444678,0.9360553689900892,1.0,02-14-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9892287174644094,0.985122903501582,0.9922942393224612,0.9780544787938713,02-14-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9772131220766624,0.9696990267371511,0.9412036007544125,0.9999737493765477,02-14-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.49570871593294746,0.0013521027092600081,0.0024324262883902792,0.000936272236465616,02-14-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9772131220766624,0.9696990267371511,0.9412036007544125,0.9999737493765477,02-14-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998782695049092,0.9987921169739351,1.0,0.997587148390374,02-15-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999103038457227,0.9991103768189616,0.999872813990461,0.9983491015302559,02-15-2018.csv,none
