model,feature_group,protocol,accuracy,precision,recall,f1,roc_auc,pr_auc
CatBoost,connection_activity,cross_day,0.7303,0.3666,0.437,0.2726,0.8628,0.4531
CatBoost,flags_and_protocol,cross_day,0.8623,0.6569,0.438,0.4949,0.8937,0.7094
CatBoost,flow_metrics,cross_day,0.8582,0.4808,0.4317,0.4199,0.8211,0.4928
CatBoost,packet_size_stats,cross_day,0.6489,0.3659,0.3946,0.2048,0.847,0.4607
CatBoost,rates_and_ratios,cross_day,0.9231,0.553,0.5209,0.5088,0.7636,0.5339
CatBoost,timing_iat,cross_day,0.8523,0.4263,0.4066,0.3386,0.761,0.4358
DecisionTree,connection_activity,cross_day,0.7277,0.3658,0.5015,0.2764,0.7929,0.4838
DecisionTree,flags_and_protocol,cross_day,0.8341,0.6942,0.5543,0.6075,0.7711,0.678
DecisionTree,flow_metrics,cross_day,0.8191,0.4516,0.5213,0.396,0.6022,0.4381
DecisionTree,packet_size_stats,cross_day,0.648,0.3624,0.4196,0.1992,0.7836,0.4904
DecisionTree,rates_and_ratios,cross_day,0.8932,0.5094,0.5522,0.4826,0.744,0.488
DecisionTree,timing_iat,cross_day,0.8615,0.4273,0.4549,0.3645,0.7307,0.4929
ExtraTrees,connection_activity,cross_day,0.7318,0.3715,0.4961,0.2778,0.8532,0.5345
ExtraTrees,flags_and_protocol,cross_day,0.8385,0.6759,0.5626,0.6054,0.7234,0.7108
ExtraTrees,flow_metrics,cross_day,0.8457,0.4806,0.5251,0.4053,0.8284,0.5374
ExtraTrees,packet_size_stats,cross_day,0.6479,0.3626,0.4211,0.199,0.8195,0.5086
ExtraTrees,rates_and_ratios,cross_day,0.8867,0.5069,0.5597,0.4799,0.7847,0.5247
ExtraTrees,timing_iat,cross_day,0.8537,0.4328,0.4476,0.3586,0.7692,0.4665
KNN,connection_activity,cross_day,0.7696,0.3705,0.4309,0.2761,0.7869,0.4719
KNN,flags_and_protocol,cross_day,0.8395,0.73,0.5727,0.6024,0.7903,0.7297
KNN,flow_metrics,cross_day,0.8679,0.5093,0.4777,0.4111,0.7253,0.5211
KNN,packet_size_stats,cross_day,0.6376,0.3003,0.4443,0.2031,0.6471,0.4108
KNN,rates_and_ratios,cross_day,0.8662,0.4686,0.5456,0.4479,0.72,0.5206
KNN,timing_iat,cross_day,0.8269,0.3646,0.4084,0.3259,0.7077,0.4676
LightGBM,connection_activity,cross_day,0.7311,0.371,0.4977,0.2792,0.8324,0.4375
LightGBM,flags_and_protocol,cross_day,0.8338,0.6445,0.513,0.5631,0.792,0.6536
LightGBM,flow_metrics,cross_day,0.8134,0.4482,0.5324,0.3946,0.7364,0.4075
LightGBM,packet_size_stats,cross_day,0.6491,0.3626,0.4221,0.2014,0.8423,0.5087
LightGBM,rates_and_ratios,cross_day,0.928,0.5524,0.5332,0.5132,0.8485,0.5422
LightGBM,timing_iat,cross_day,0.8493,0.4231,0.4536,0.3597,0.761,0.4508
LinearSVC,connection_activity,cross_day,0.6929,0.2923,0.4553,0.3083,0.6343,0.3161
LinearSVC,flags_and_protocol,cross_day,0.8592,0.5092,0.3794,0.4093,0.7964,0.4578
LinearSVC,flow_metrics,cross_day,0.8034,0.4675,0.4706,0.4039,0.704,0.4554
LinearSVC,packet_size_stats,cross_day,0.6504,0.2123,0.3801,0.2209,0.6533,0.3127
LinearSVC,rates_and_ratios,cross_day,0.5097,0.3281,0.2233,0.1976,0.3434,0.3013
LinearSVC,timing_iat,cross_day,0.7169,0.321,0.0993,0.0882,0.6162,0.3895
LogisticRegression,connection_activity,cross_day,0.692,0.2924,0.4553,0.3083,0.6072,0.3062
LogisticRegression,flags_and_protocol,cross_day,0.8589,0.5408,0.3847,0.4245,0.7883,0.4536
LogisticRegression,flow_metrics,cross_day,0.7737,0.4729,0.4178,0.3634,0.7165,0.4592
LogisticRegression,packet_size_stats,cross_day,0.5742,0.1476,0.2469,0.091,0.6536,0.2993
LogisticRegression,rates_and_ratios,cross_day,0.5585,0.3411,0.2285,0.2257,0.3543,0.3097
LogisticRegression,timing_iat,cross_day,0.713,0.2065,0.003,0.0059,0.5782,0.3575
MLP,connection_activity,cross_day,0.7083,0.2276,0.3953,0.2228,0.7309,0.3698
MLP,flags_and_protocol,cross_day,0.8945,0.444,0.5209,0.4667,0.7407,0.4311
MLP,flow_metrics,cross_day,0.7255,0.0,0.0,0.0,0.5003,0.4942
MLP,packet_size_stats,cross_day,0.6247,0.2221,0.3577,0.1526,0.7875,0.4103
MLP,rates_and_ratios,cross_day,0.8593,0.409,0.3716,0.3737,0.7234,0.4765
MLP,timing_iat,cross_day,0.6835,0.0075,0.0491,0.013,0.4791,0.2674
RandomForest,connection_activity,cross_day,0.7316,0.3705,0.4911,0.2765,0.847,0.5238
RandomForest,flags_and_protocol,cross_day,0.8391,0.674,0.5594,0.6007,0.8438,0.7693
RandomForest,flow_metrics,cross_day,0.8565,0.4842,0.5263,0.4137,0.813,0.4816
RandomForest,packet_size_stats,cross_day,0.648,0.3626,0.4188,0.1991,0.818,0.5092
RandomForest,rates_and_ratios,cross_day,0.8954,0.5098,0.55,0.485,0.8155,0.5143
RandomForest,timing_iat,cross_day,0.8587,0.4301,0.4564,0.3646,0.784,0.4449
XGBoost,connection_activity,cross_day,0.7332,0.3771,0.4733,0.2873,0.862,0.4544
XGBoost,flags_and_protocol,cross_day,0.841,0.6438,0.5877,0.6004,0.9432,0.744
XGBoost,flow_metrics,cross_day,0.8463,0.4712,0.4661,0.4148,0.7954,0.4656
XGBoost,packet_size_stats,cross_day,0.6487,0.3649,0.4284,0.2031,0.8727,0.5091
XGBoost,rates_and_ratios,cross_day,0.9226,0.552,0.5192,0.5071,0.8076,0.5463
XGBoost,timing_iat,cross_day,0.8206,0.3919,0.4118,0.3243,0.7268,0.4073
CatBoost,connection_activity,same_day,0.9813,0.9357,0.8093,0.8364,0.9823,0.8306
CatBoost,flags_and_protocol,same_day,0.9997,1.0,0.9634,0.979,0.9986,0.9825
CatBoost,flow_metrics,same_day,0.9853,0.9846,0.8169,0.8676,0.9908,0.8657
CatBoost,packet_size_stats,same_day,0.9757,0.9424,0.792,0.8264,0.9739,0.8268
