model_type,model_name,protocol,accuracy,precision,recall,f1,roc_auc,pr_auc
Stacking,CatBoost,crossday,0.8341,0.6947,0.5616,0.6129,0.8133,0.762
Stacking,CatBoost,sameday,0.9997,0.9946,0.9634,0.977,0.9999,0.9831
Stacking,DecisionTree,crossday,0.8386,0.695,0.5499,0.6052,0.7934,0.7347
Stacking,DecisionTree,sameday,0.9997,0.9946,0.9634,0.977,0.9995,0.9811
Stacking,ExtraTrees,crossday,0.8607,0.8375,0.5954,0.6676,0.7576,0.7252
Stacking,ExtraTrees,sameday,0.9997,0.9946,0.9634,0.977,0.9995,0.9822
Stacking,KNN,crossday,0.8376,0.6941,0.5524,0.6063,0.7981,0.7674
Stacking,KNN,sameday,0.9997,0.9997,0.9637,0.9791,0.9819,0.9816
Stacking,LightGBM,crossday,0.8599,0.8379,0.5823,0.6592,0.7855,0.765
Stacking,LightGBM,sameday,0.9997,0.9942,0.9637,0.9771,0.9995,0.9829
Stacking,LinearSVC,crossday,0.8356,0.6936,0.5784,0.6219,0.8256,0.771
Stacking,LinearSVC,sameday,0.9997,0.9967,0.9634,0.9778,0.9999,0.9832
Stacking,LogisticRegression,crossday,0.8361,0.6845,0.5854,0.6218,0.8255,0.7297
Stacking,LogisticRegression,sameday,0.9996,0.7143,0.7138,0.714,0.9999,0.9837
Stacking,MLP,crossday,0.8578,0.8109,0.6101,0.6728,0.7649,0.6941
Stacking,MLP,sameday,0.9997,0.9997,0.9637,0.9791,0.9999,0.9837
Stacking,RandomForest,crossday,0.8392,0.6951,0.5649,0.6147,0.7578,0.7248
Stacking,RandomForest,sameday,0.9997,0.9946,0.9634,0.977,0.9995,0.9828
Stacking,XGBoost,crossday,0.8385,0.695,0.5614,0.6129,0.7931,0.7201
Stacking,XGBoost,sameday,0.9997,0.9978,0.9634,0.9782,0.9991,0.9832
Voting Ensemble,Hard Voting,crossday,0.8497,0.59,0.6303,0.598,0.8087,0.6831
Voting Ensemble,Hard Voting,sameday,0.9966,0.8606,0.9987,0.8636,0.9978,0.9297
Voting Ensemble,Soft Voting,crossday,0.8362,0.6838,0.5856,0.6215,0.8258,0.7233
Voting Ensemble,Soft Voting,sameday,0.9994,0.8882,0.9928,0.9075,0.9999,0.9837
