feature,protocol,accuracy,precision,recall,f1,roc_auc,pr_auc
ACK Flag Cnt,cross_day,0.8584,0.8113,0.6199,0.6782,0.7665,0.7005
ACK Flag Cnt,same_day,0.9997,0.9998,0.9635,0.9791,0.9993,0.9828
Active Max,cross_day,0.8389,0.6918,0.5567,0.6082,0.7771,0.6992
Active Max,same_day,0.9976,0.9971,0.9208,0.9542,0.9747,0.9292
Active Mean,cross_day,0.8355,0.6882,0.568,0.614,0.7913,0.7108
Active Mean,same_day,0.9973,0.9988,0.9199,0.9543,0.9748,0.9546
Active Min,cross_day,0.8356,0.6937,0.5695,0.6171,0.7937,0.6992
Active Min,same_day,0.9976,0.9936,0.9211,0.9532,0.9747,0.9292
Active Std,cross_day,0.8532,0.7975,0.5972,0.6645,0.7986,0.7045
Active Std,same_day,0.9982,0.9997,0.9333,0.9621,0.982,0.9091
Bwd Blk Rate Avg,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Bwd Blk Rate Avg,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Bwd Byts/b Avg,cross_day,0.8573,0.8116,0.5977,0.6657,0.7697,0.6943
Bwd Byts/b Avg,same_day,0.9997,1.0,0.9634,0.9791,0.9999,0.9836
Bwd IAT Max,cross_day,0.8312,0.765,0.4012,0.5045,0.7293,0.6348
Bwd IAT Max,same_day,0.969,0.8568,0.8088,0.8126,0.8896,0.8168
Bwd IAT Mean,cross_day,0.8427,0.7962,0.4236,0.5345,0.7416,0.6279
Bwd IAT Mean,same_day,0.9861,0.9799,0.8108,0.8749,0.9059,0.8634
Bwd IAT Min,cross_day,0.8362,0.6953,0.5445,0.6016,0.7329,0.6962
Bwd IAT Min,same_day,0.995,0.9972,0.8798,0.9291,0.9458,0.9178
Bwd IAT Std,cross_day,0.8309,0.6939,0.4011,0.4924,0.7185,0.6085
Bwd IAT Std,same_day,0.9915,0.8937,0.8354,0.8505,0.9168,0.8527
Bwd IAT Tot,cross_day,0.8256,0.7257,0.3983,0.4957,0.6829,0.5393
Bwd IAT Tot,same_day,0.9709,0.8898,0.8145,0.8383,0.8698,0.8258
