file,attack_type,feature_group,model,accuracy,f1_score,precision,recall
02-14-2018.csv,Benign,flow_metrics,LogisticRegression,0.8509513264337687,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flow_metrics,LogisticRegression,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,flow_metrics,LogisticRegression,0.49554332386363636,0.6626933716415961,1.0,0.49554332386363636
02-14-2018.csv,Benign,flow_metrics,DecisionTree,0.9860200961118393,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flow_metrics,DecisionTree,0.9709642358056001,0.9852682440061973,1.0,0.9709642358056001
02-14-2018.csv,SSH-Bruteforce,flow_metrics,DecisionTree,0.9925958806818181,0.9962841841690206,1.0,0.9925958806818181
02-14-2018.csv,Benign,flow_metrics,RandomForest,0.9860351606634429,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flow_metrics,RandomForest,0.9709642358056001,0.9852682440061973,1.0,0.9709642358056001
02-14-2018.csv,SSH-Bruteforce,flow_metrics,RandomForest,0.9928444602272727,0.9964093837148178,1.0,0.9928444602272727
02-14-2018.csv,Benign,flow_metrics,ExtraTrees,0.9860251176290404,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flow_metrics,ExtraTrees,0.9709642358056001,0.9852682440061973,1.0,0.9709642358056001
02-14-2018.csv,SSH-Bruteforce,flow_metrics,ExtraTrees,0.9927911931818182,0.9963825578701642,1.0,0.9927911931818182
02-14-2018.csv,Benign,flow_metrics,XGBoost,0.9852668685316581,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flow_metrics,XGBoost,0.9718268550627124,0.9857121608497458,1.0,0.9718268550627124
02-14-2018.csv,SSH-Bruteforce,flow_metrics,XGBoost,0.9943359375,0.9971599255704632,1.0,0.9943359375
02-14-2018.csv,Benign,flow_metrics,LightGBM,0.986015074594638,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,flow_metrics,LightGBM,0.9709642358056001,0.9852682440061973,1.0,0.9709642358056001
02-14-2018.csv,SSH-Bruteforce,flow_metrics,LightGBM,0.9928799715909091,0.9964272668145654,1.0,0.9928799715909091
